yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2017,ALDS1,allengr01,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ALDS2,allengr01,CLE,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,NLDS1,allengr01,SDN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLDS2,almonye01,LAN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,WS,almoral01,CHN,NL,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,NLCS,almoral01,CHN,NL,4,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2016,NLDS1,almoral01,CHN,NL,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,NLDS2,almoral01,CHN,NL,4,6,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
2017,NLCS,almoral01,CHN,NL,5,16,1,3,1,0,1,2,0,0,0,3,0,0,0,0,0
2018,NLWC,almoral01,CHN,NL,1,5,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0
2022,NLWC1,alonspe01,NYN,NL,3,10,2,3,0,0,1,1,0,0,2,4,0,0,0,0,0
2024,NLDS1,alonspe01,NYN,NL,4,13,3,4,1,0,2,3,1,0,4,6,0,0,0,1,0
2024,NLCS,alonspe01,NYN,NL,6,22,5,6,0,0,1,4,1,0,5,7,0,1,0,0,1
2024,NLWC1,alonspe01,NYN,NL,3,9,2,2,0,0,1,3,0,0,3,2,1,0,0,0,1
2018,ALDS2,alonsyo01,CLE,AL,2,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2020,NLDS1,altavda01,SDN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ALWC,altuvjo01,HOU,AL,1,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
2015,ALDS1,altuvjo01,HOU,AL,5,22,2,3,0,0,0,1,0,1,1,2,0,0,0,0,1
2017,WS,altuvjo01,HOU,AL,7,31,4,6,2,0,2,6,1,0,1,7,0,0,0,0,0
2017,ALCS,altuvjo01,HOU,AL,7,25,5,8,0,0,2,4,1,0,4,5,0,0,0,0,1
2017,ALDS2,altuvjo01,HOU,AL,4,15,5,8,0,0,3,4,0,0,4,2,2,0,0,0,2
2018,ALCS,altuvjo01,HOU,AL,5,20,4,5,1,0,0,2,0,0,3,4,0,0,0,0,0
2018,ALDS2,altuvjo01,HOU,AL,3,14,4,4,1,0,1,2,0,0,0,2,0,0,0,0,1
2019,ALCS,altuvjo01,HOU,AL,6,23,6,8,1,0,2,3,1,0,4,1,0,0,0,0,0
2019,ALDS1,altuvjo01,HOU,AL,5,20,4,7,2,0,3,5,0,0,1,3,0,0,0,0,1
2019,WS,altuvjo01,HOU,AL,7,33,4,10,3,0,0,1,1,1,0,3,0,0,0,1,3
2020,ALCS,altuvjo01,HOU,AL,7,26,6,12,2,0,3,5,0,1,6,5,0,0,0,0,1
2020,ALDS2,altuvjo01,HOU,AL,4,15,5,6,0,0,2,5,0,1,3,3,0,1,0,0,0
2020,ALWC3,altuvjo01,HOU,AL,2,7,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
2021,ALDS1,altuvjo01,HOU,AL,4,16,9,5,2,0,1,3,1,0,4,5,0,1,0,0,0
2021,ALCS,altuvjo01,HOU,AL,6,24,6,3,0,0,2,4,0,0,3,3,0,0,0,1,1
2021,WS,altuvjo01,HOU,AL,6,27,6,6,1,0,2,2,1,0,1,9,0,0,0,0,0
2022,ALCS,altuvjo01,HOU,AL,4,16,2,3,1,0,0,0,0,0,2,5,0,0,0,0,1
2022,ALDS2,altuvjo01,HOU,AL,3,16,1,0,0,0,0,0,0,0,1,6,0,0,0,0,1
2022,WS,altuvjo01,HOU,AL,6,26,5,8,2,0,0,0,1,1,1,3,0,0,0,0,2
2023,ALCS,altuvjo01,HOU,AL,4,18,3,4,1,0,1,1,1,0,1,2,0,0,0,0,0
2023,ALDS2,altuvjo01,HOU,AL,2,8,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0
2024,ALWC1,altuvjo01,HOU,AL,2,7,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0
2022,NLWC1,alvarfr01,NYN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024,NLDS1,alvarfr01,NYN,NL,4,15,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0
2024,NLCS,alvarfr01,NYN,NL,6,17,3,7,1,0,0,2,0,0,2,4,0,1,0,1,0
2024,NLWC1,alvarfr01,NYN,NL,3,11,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1
2021,NLDS2,alvarjo02,SFN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ALCS,alvarjo03,TBA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLDS1,alvarjo03,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLCS,alvarjo03,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,WS,alvarjo03,PHI,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLWC2,alvarjo03,PHI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NLCS,alvarjo03,PHI,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NLDS1,alvarjo03,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NLWC2,alvarjo03,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,NLDS1,alvarjo03,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NLWC,alvarpe01,PIT,NL,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2019,WS,alvaryo01,HOU,AL,7,17,2,7,0,0,1,2,0,0,4,2,1,0,0,0,0
2019,ALDS1,alvaryo01,HOU,AL,5,19,2,6,3,0,0,1,0,0,1,7,0,0,0,0,0
2019,ALCS,alvaryo01,HOU,AL,6,22,1,1,0,0,0,0,0,0,2,12,0,0,0,0,0
2021,ALCS,alvaryo01,HOU,AL,6,23,7,12,3,1,1,6,0,0,2,5,0,0,0,1,0
2021,ALDS1,alvaryo01,HOU,AL,4,11,4,3,1,0,1,3,0,0,6,6,0,0,0,0,0
2021,WS,alvaryo01,HOU,AL,6,20,2,2,0,1,0,0,0,0,5,6,0,1,0,0,1
2022,ALCS,alvaryo01,HOU,AL,4,14,2,3,1,0,0,1,0,0,3,6,1,1,0,0,0
2022,ALDS2,alvaryo01,HOU,AL,3,15,3,4,1,0,2,7,0,0,1,2,1,1,0,0,0
2022,WS,alvaryo01,HOU,AL,6,23,4,3,1,0,1,6,0,0,2,8,0,1,0,0,0
