playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
gallayo01,2015,ALDS2,TEX,AL,1,0,1,1,0,0,0,15,4,2,0,1,1,0.211,3.6,0,0,0,0,20,0,2,0,0,0
gallegi01,2019,NLCS,SLN,NL,0,0,2,0,0,0,0,7,2,1,0,1,3,0.222,3.86,1,0,0,0,10,0,1,0,0,0
gallegi01,2019,NLDS2,SLN,NL,0,0,3,0,0,0,0,6,1,0,0,2,3,0.143,0,0,0,0,0,9,0,0,0,0,0
gallegi01,2020,NLWC2,SLN,NL,1,0,2,0,0,0,0,6,3,2,2,1,3,0.333,9,0,0,0,0,10,0,2,0,0,0
gallegi01,2021,NLWC,SLN,NL,0,0,1,0,0,0,0,3,1,0,0,0,2,0.25,0,0,0,0,0,4,0,0,0,0,0
gallegi01,2022,NLWC2,SLN,NL,0,0,2,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0
galleza01,2023,NLCS,ARI,NL,0,2,2,2,0,0,0,33,14,9,5,4,5,0.318,7.36,0,2,1,0,49,0,9,0,0,3
galleza01,2023,NLDS2,ARI,NL,1,0,1,1,0,0,0,16,5,2,1,2,4,0.238,3.38,0,0,0,0,23,0,2,0,0,0
galleza01,2023,NLWC1,ARI,NL,1,0,1,1,0,0,0,18,5,2,0,3,4,0.25,3,0,0,0,0,24,0,2,0,1,2
galleza01,2023,WS,ARI,NL,0,1,2,2,0,0,0,34,7,4,0,5,11,0.175,3.18,0,0,0,0,45,0,4,0,0,1
garcide01,2020,ALDS1,NYA,AL,0,0,1,1,0,0,0,3,1,1,1,0,0,0.25,9,0,0,1,0,5,0,1,0,0,0
garcija01,2016,NLDS1,SFN,NL,0,0,1,0,0,0,0,2,2,0,0,0,0,0.667,0,0,0,0,0,3,0,0,0,0,0
garcija02,2015,NLDS1,SLN,NL,0,1,1,1,0,0,0,6,4,0,1,1,2,0.444,0,0,0,0,0,12,0,5,2,0,0
garcija02,2017,ALDS1,NYA,AL,0,0,1,0,0,0,0,8,0,0,0,2,3,0,0,1,2,0,0,10,0,0,0,1,0
garcija04,2021,NLDS2,SFN,NL,0,0,2,0,0,0,0,4,2,1,1,1,1,0.286,6.75,0,0,0,0,8,0,2,0,0,0
garcilu03,2021,NLWC,SLN,NL,0,0,1,0,0,0,0,5,1,0,0,1,0,0.167,0,0,0,0,0,7,0,0,0,0,0
garcilu03,2022,NLCS,SDN,NL,0,0,2,0,0,0,0,8,2,1,1,0,2,0.2,3.38,0,0,0,0,10,1,1,0,0,0
garcilu03,2022,NLDS2,SDN,NL,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
garcilu03,2022,NLWC1,SDN,NL,0,0,1,0,0,0,0,3,1,0,0,1,1,0.25,0,0,1,0,0,5,1,0,0,0,0
