yearkey,leaguekey,teamkey,parkkey,spanfirst,spanlast,games,openings,attendance
2019,AL,BOS,BOS07,2019-04-09,2019-09-29,79,79,2796784
2019,AL,BOS,LON01,2019-06-29,2019-06-30,2,2,118718
2020,AL,BOS,BOS07,2020-07-24,2020-09-24,31,0,0
2021,AL,BOS,BOS07,2021-04-02,2021-09-26,81,81,1725323
2022,AL,BOS,BOS07,2022-04-15,2022-10-05,81,81,2625089
2023,AL,BOS,BOS07,2023-03-30,2023-09-27,81,81,2672130
2024,AL,BOS,BOS07,2024-04-09,2024-09-29,81,81,2659949
2015,AL,CHA,CHI12,2015-04-10,2015-10-04,81,80,1755810
2016,AL,CHA,CHI12,2016-04-08,2016-10-02,81,80,1746293
2017,AL,CHA,CHI12,2017-04-04,2017-09-28,81,79,1629470
2018,AL,CHA,CHI12,2018-04-05,2018-09-26,81,80,1608817
2019,AL,CHA,CHI12,2019-04-05,2019-09-29,80,77,1649775
2020,AL,CHA,CHI12,2020-07-24,2020-09-27,30,0,0
2021,AL,CHA,CHI12,2021-04-08,2021-10-03,80,77,1588553
2021,AL,CHA,DYE01,2021-08-12,2021-08-12,1,1,7832
2022,AL,CHA,CHI12,2022-04-12,2022-10-05,81,81,2009359
2023,AL,CHA,CHI12,2023-04-03,2023-10-01,81,78,1669628
2024,AL,CHA,CHI12,2024-03-28,2024-09-26,81,77,1380733
2015,NL,CHN,CHI11,2015-04-05,2015-09-28,81,81,2959812
2016,NL,CHN,CHI11,2016-04-11,2016-09-25,81,81,3232420
2017,NL,CHN,CHI11,2017-04-10,2017-10-01,81,81,3199562
2018,NL,CHN,CHI11,2018-04-10,2018-10-01,82,82,3181089
2019,NL,CHN,CHI11,2019-04-08,2019-09-22,81,81,3094865
2020,NL,CHN,CHI11,2020-07-24,2020-09-20,33,0,0
2021,NL,CHN,CHI11,2021-04-01,2021-09-26,81,81,1978934
2022,NL,CHN,CHI11,2022-04-07,2022-10-02,81,81,2616780
2023,NL,CHN,CHI11,2023-03-30,2023-09-24,81,81,2775149
2024,NL,CHN,CHI11,2024-04-01,2024-09-29,81,81,2909794
