playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
bellico01,2021,LAN,NL,NLDS2,1B,4,3,75,14,1,0,0,0,,,
bellico01,2021,LAN,NL,NLDS2,CF,3,1,36,1,0,0,0,0,,,
bellico01,2021,LAN,NL,NLWC,CF,1,1,27,1,0,0,0,0,,,
bellico01,2021,LAN,NL,NLCS,CF,2,2,51,5,0,0,0,0,,,
bellico01,2022,LAN,NL,NLDS2,CF,3,2,54,3,0,0,0,0,,,
belljo02,2022,SDN,NL,NLCS,1B,1,0,9,5,1,0,0,0,,,
belljo02,2023,MIA,NL,NLWC2,1B,2,2,48,11,0,0,0,0,,,
beltbr01,2016,SFN,NL,NLDS1,1B,4,4,114,31,1,0,3,0,,,
beltbr01,2016,SFN,NL,NLWC,1B,1,1,27,7,0,0,1,0,,,
beltrad01,2015,TEX,AL,ALDS2,3B,3,3,57,0,4,0,0,0,,,
beltrad01,2016,TEX,AL,ALDS1,3B,3,3,83,5,3,0,0,0,,,
beltrca01,2015,NYA,AL,ALWC,RF,1,1,27,1,0,0,0,0,,,
beninan01,2016,BOS,AL,ALDS2,LF,3,3,69,2,0,0,0,0,,,
beninan01,2017,BOS,AL,ALDS2,LF,4,4,102,5,0,0,0,0,,,
beninan01,2018,BOS,AL,ALCS,LF,5,5,135,10,0,0,0,0,,,
beninan01,2018,BOS,AL,ALDS1,LF,4,4,102,6,0,0,0,0,,,
beninan01,2018,BOS,AL,WS,LF,4,4,108,9,0,0,0,0,,,
berrijo01,2017,MIN,AL,ALWC,P,1,0,9,0,0,0,0,0,,,
berrijo01,2019,MIN,AL,ALDS2,P,1,1,12,0,0,0,0,0,,,
